2025-12-25 22:38:40 | DEBUG    | SecInterp.sec_interp.core.config | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:40 | DEBUG    | SecInterp.sec_interp.core.utils.geometry_utils.filtering | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:40 | DEBUG    | SecInterp.sec_interp.core.utils.geometry_utils.processing | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:40 | DEBUG    | SecInterp.sec_interp.core.performance_metrics | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:40 | DEBUG    | SecInterp.sec_interp.core.utils.sampling | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:40 | DEBUG    | SecInterp.sec_interp.core.data_cache | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:40 | DEBUG    | SecInterp.sec_interp.core.services.drillhole_service | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:40 | DEBUG    | SecInterp.sec_interp.core.utils.resource_manager | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:40 | DEBUG    | SecInterp.sec_interp.core.services.geology_service | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:40 | DEBUG    | SecInterp.sec_interp.core.services.interpretation_service | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:40 | DEBUG    | SecInterp.sec_interp.core.services.profile_service | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:40 | DEBUG    | SecInterp.sec_interp.core.services.structure_service | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:40 | DEBUG    | SecInterp.sec_interp.core.controller | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.core.services.export_service | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.core.services.preview_service | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.exporters.csv_exporter | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.exporters.drillhole_exporters | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.exporters.image_exporter | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.exporters.pdf_exporter | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.exporters.profile_exporters | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.exporters.shp_exporter | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.exporters.svg_exporter | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.exporters.interpretation_exporters | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.utils | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.main_dialog | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.main_dialog_cache_handler | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.main_dialog_export | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.parallel_geology | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.main_dialog_preview | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.main_dialog_signals | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.tools.interpretation_tool | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.tools.measure_tool | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.ui.pages.drillhole_page | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.preview_axes_manager | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.preview_optimizer | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.preview_layer_factory | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.preview_legend_renderer | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:41 | DEBUG    | SecInterp.sec_interp.gui.preview_renderer | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:38:42 | DEBUG    | SecInterp.sec_interp.sec_interp_plugin | get_logger:100 | Thread-127744158243776 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:51 | DEBUG    | SecInterp.sec_interp.core.config | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:51 | DEBUG    | SecInterp.sec_interp.core.utils.geometry_utils.filtering | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:51 | DEBUG    | SecInterp.sec_interp.core.utils.geometry_utils.processing | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:51 | DEBUG    | SecInterp.sec_interp.core.performance_metrics | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:51 | DEBUG    | SecInterp.sec_interp.core.utils.sampling | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:51 | DEBUG    | SecInterp.sec_interp.core.data_cache | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:51 | DEBUG    | SecInterp.sec_interp.core.services.drillhole_service | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:51 | DEBUG    | SecInterp.sec_interp.core.utils.resource_manager | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:51 | DEBUG    | SecInterp.sec_interp.core.services.geology_service | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:51 | DEBUG    | SecInterp.sec_interp.core.services.interpretation_service | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:51 | DEBUG    | SecInterp.sec_interp.core.services.profile_service | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:51 | DEBUG    | SecInterp.sec_interp.core.services.structure_service | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:51 | DEBUG    | SecInterp.sec_interp.core.controller | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.core.services.export_service | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.core.services.preview_service | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.exporters.csv_exporter | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.exporters.drillhole_exporters | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.exporters.image_exporter | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.exporters.pdf_exporter | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.exporters.profile_exporters | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.exporters.shp_exporter | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.exporters.svg_exporter | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.exporters.interpretation_exporters | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.gui.utils | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.gui.main_dialog | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.gui.main_dialog_cache_handler | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.gui.main_dialog_export | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.gui.parallel_geology | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.gui.main_dialog_preview | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.gui.main_dialog_signals | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.gui.tools.interpretation_tool | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.gui.tools.measure_tool | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.gui.ui.pages.drillhole_page | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.gui.preview_axes_manager | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.gui.preview_optimizer | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.gui.preview_layer_factory | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.gui.preview_legend_renderer | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:52 | DEBUG    | SecInterp.sec_interp.gui.preview_renderer | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
2025-12-25 22:44:53 | DEBUG    | SecInterp.sec_interp.sec_interp_plugin | get_logger:117 | Thread-135860159634368 | File logging initialized: /home/jmbernales/qgispluginsdev/sec_interp/logs/sec_interp_debug.log
